GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springsecuritybasic,com.omejia.filter,AuthoritiesLoggingAtFilter,9,8,0,0,3,3,1,1,1,1
springsecuritybasic,com.omejia.filter,JWTTokenValidatorFilter,59,3,2,0,20,1,3,1,2,1
springsecuritybasic,com.omejia.filter,AuthoritiesLoggingAfterFilter,15,8,2,0,5,3,2,1,1,1
springsecuritybasic,com.omejia.filter,JWTTokenGeneratorFilter,86,3,6,0,16,1,6,1,3,1
springsecuritybasic,com.omejia.filter,RequestValidationBeforeFilter,87,0,8,0,25,0,8,0,4,0
springsecuritybasic,com.omejia.controller,ProductController,68,3,4,0,16,1,5,1,3,1
springsecuritybasic,com.omejia.controller,WelcomeController,2,3,0,0,1,1,1,1,1,1
springsecuritybasic,com.omejia.controller,OrderController,136,3,7,0,39,1,12,1,6,1
springsecuritybasic,com.omejia.controller,LoginController,60,3,2,0,15,1,3,1,2,1
springsecuritybasic,com.omejia.controller,LoansController,12,3,2,0,4,1,2,1,1,1
springsecuritybasic,com.omejia.controller,BalanceController,12,3,2,0,5,1,2,1,1,1
springsecuritybasic,com.omejia.controller,NoticesController,10,3,2,0,4,1,2,1,1,1
springsecuritybasic,com.omejia.controller,CardsController,12,3,2,0,4,1,2,1,1,1
springsecuritybasic,com.omejia.controller,AddressController,34,3,0,0,9,1,4,1,4,1
springsecuritybasic,com.omejia.controller,AccountController,12,3,2,0,4,1,2,1,1,1
springsecuritybasic,com.omejia.controller,ClientController,59,3,0,0,14,1,4,1,4,1
springsecuritybasic,com.omejia.config,ProjectSecurityConfig.new CorsConfigurationSource() {...},35,6,0,0,8,1,1,1,1,1
springsecuritybasic,com.omejia.config,EazyBankUserDetails,28,3,2,0,4,1,2,1,1,1
springsecuritybasic,com.omejia.config,ProjectSecurityConfig,0,168,0,0,0,20,0,3,0,3
springsecuritybasic,com.omejia.config,EazyBankUsernamePwdAuthenticationProvider,77,3,6,0,14,1,6,1,3,1
springsecuritybasic,com.omejia.model,Client,56,6,0,0,22,3,11,1,11,1
springsecuritybasic,com.omejia.model,OrderProduct,6,11,0,0,2,5,2,3,2,3
springsecuritybasic,com.omejia.model,Product,35,6,0,0,15,2,10,1,10,1
springsecuritybasic,com.omejia.model,SecurityCustomer,37,0,0,0,12,0,8,0,8,0
springsecuritybasic,com.omejia.model,Address,21,3,0,0,9,1,6,1,6,1
springsecuritybasic,com.omejia.model,Cards,56,3,0,0,24,1,16,1,16,1
springsecuritybasic,com.omejia.model,Authority,21,3,0,0,9,1,6,1,6,1
springsecuritybasic,com.omejia.model,AccountTransactions,66,0,0,0,28,0,19,0,19,0
springsecuritybasic,com.omejia.model,Status,0,39,0,0,0,2,0,1,0,1
springsecuritybasic,com.omejia.model,Accounts,0,38,0,0,0,16,0,11,0,11
springsecuritybasic,com.omejia.model,Customer,56,3,0,0,24,1,16,1,16,1
springsecuritybasic,com.omejia.model,Loans,56,3,0,0,24,1,16,1,16,1
springsecuritybasic,com.omejia.model,Notice,49,3,0,0,21,1,14,1,14,1
springsecuritybasic,com.omejia.model,Order,96,36,0,0,40,16,28,7,28,7
springsecuritybasic,com.omejia.constants,SecurityConstants,3,0,0,0,1,0,1,0,1,0
springsecuritybasic,com.omejia.constants,ApplicationConstants,7,0,0,0,2,0,1,0,1,0
springsecuritybasic,com.omejia.springsecuritybasic,SpringsecuritybasicApplication,5,3,0,0,2,1,1,1,1,1
